word,positive_count
establishment,17
new,190
england,6
wasp,7
familiarizados,55
apenas,7470
performances,1313
even,7
stevens,50
demonstração,38
maturidade,42
deliciosa,114
surpresa,567
josh,42
flitter,9
dez,553
anos,7892
idade,877
ameaça,195
roubar,188
todas,2349
aparece,521
antiquado,50
sentido,791
palavra,536
direção,1286
clara,190
leva,1119
fim,1292
cena,3542
carinhosa,27
homenagem,168
casablanca,44
prazeres,47
enchem,8
1º,17
setembro,106
2005,140
indianápolis,2
juízes,46
heartland,11
film,235
festival,405
exibe,89
truly,4
moving,22
picture,40
award,22
retrato,599
verdadeiramente,721
movimento,463
explora,107
jornada,366
expressando,26
artisticamente,40
esperança,429
respeito,498
valores,348
positivos,67
vida,6074
deu,645
prêmio,287
naquela,300
época,1447
cavalheiros,28
ricos,109
trabalhadores,81
podiam,62
participar,65
caddies,1
clubes,49
pano,117
baseada,182
desenrola,111
rapaz,66
assume,145
estabelecimento,24
mundo,3495
inspiradora,51
francis,97
interpretado,654
labeouf,18
holes,5
consegue,1040
maiores,569
golfistas,4
grã,92
bretanha,90
mal,1282
preparado,121
filho,1036
hilário,482
motivador,2
rouba,249
dessas,291
desvantagens,21
demonstra,104
coragem,257
espírito,441
heroísmo,29
humildade,20
neste,3227
mundial,621
aprendemos,93
primeiros,647
exemplo,1081
uso,659
pequenos,365
tacos,7
madeira,114
disposição,74
buracos,121
curtos,79
placar,26
manual,8
balançando,43
cachimbos,2
bocas,16
terríveis,169
condições,96
greens,7
fairways,1
peça,910
cancelada,15
torrencial,4
cinematográfica,509
edição,474
arte,1098
impressionantes,254
grandes,1745
estrelas,1037
cinema,2823
adiciona,99
inventário,1
esportivos,15
veia,37
remember,13
the,5208
titans,8
fyi,10
site,198
pictures,64
lista,362
vencedores,45
anteriores,370
remontam,5
70,642
lendo,158
pergunto,151
mão,402
hongsheng,12
quero,859
dizer,3654
contada,274
principal,1420
acho,3940
pesada,91
escrevendo,115
documentando,8
etc,755
pouco,5576
tendencioso,18
podem,1883
obter,516
detalhes,543
reais,750
hongshengs,2
visão,882
sido,2774
partir,584
perspectivas,59
viram,226
transformação,89
tão,8107
confusos,45
drogas,570
lembram,97
tudo,5452
cheio,721
consistências,1
pose,5
jesus,136
cristo,95
parecer,577
mártir,4
sacrificou,4
metaforicamente,5
claro,2195
lançado,719
felicidade,183
familys,12
pontos,585
baixos,93
mantém,595
complexo,271
superioridade,18
deitado,23
grama,30
descendo,34
alto,624
contempla,5
visões,153
dragões,18
janela,146
celebra,17
liberdade,288
bicicleta,47
enquanto,4172
estica,3
braços,78
cabeça,786
inclinada,6
lado,1670
fabuloso,101
livre,280
agora,3157
herói,621
passou,261
ponto,1579
carreira,700
atuar,155
vulnerável,83
usava,70
voltar,425
lugar,2028
meio,1489
dispositivo,91
ted,196
demmes,11
blow,13
empatiza,1
mostrado,348
falho,55
quitting,1
zuotian,1
recomendado,473
principalmente,796
trilha,1020
sonora,965
assombrosa,86
soberba,237
paisagens,135
sensação,821
presumimos,2
jia,11
verdade,2677
palco,358
sinta,88
partes,967
difíceis,236
senti,575
boas,820
qualidades,123
certamente,1489
diferente,1369
expondo,12
aspecto,285
cenário,768
originais,266
conquista,142
tocado,131
tocando,265
mesmos,382
definitivamente,1524
únicos,167
aspectos,488
culturais,68
desapontados,52
familiaridade,30
cultura,433
chinesa,84
oriental,89
responderá,4
relativas,8
relações,230
estigma,10
associado,42
achei,1019
interessante,1614
nota,510
negativa,53
pequim,13
algumas,4049
moda,172
música,3069
90,357
feito,2759
2001,173
brega,218
porcaria,144
beatles,65
televisão,696
confira,175
incrível,1887
fato,1847
pessoas,6014
retratam,65
quase,2969
vivendo,194
passado,841
novamente,1560
interpreta,1268
largou,3
exceto,557
lutando,245
depressão,90
buscando,52
fica,1036
raiva,245
todos,8697
especialmente,2342
importam,74
vão,814
querer,444
chorar,256
sofrem,40
entender,795
problema,837
manter,684
fechado,30
quarto,436
escuro,300
ir,1020
passear,10
andar,166
sozinho,376
ver,6823
chato,326
documentário,856
geral,1514
mereceu,63
oscar,1028
amei,621
começo,1093
músico,76
deixo,15
ficarem,33
minhas,531
costumava,203
amar,326
kateboarding,1
lá,1669
mim,2095
reabilitação,15
suporte,48
droga,101
mudou,205
posso,2051
totalmente,1318
relacionar,239
gostaria,893
deixou,536
palavras,729
honesto,256
canal,212
ifc,25
geralmente,711
odeio,137
satélite,30
privilégio,35
nunca,4663
encontrado,183
internacionais,40
traduzir,27
linhas,746
óbvia,113
barreira,28
linguística,4
deixa,865
acreditar,610
dizendo,499
negócio,244
cheguei,82
coisa,3123
cama,272
cedo,220
usual,71
lol,64
espero,820
gostem,27
inferno,432
nd,4
amor,2644
fiz,320
poder,826
digitar,23
maiúsculas,8
regras,164
gritar,93
mostrar,687
emoção,433
dou,370
três,1729
polegares,55
cima,440
surpreendeu,144
sorte,443
assistir,3903
primeiro,2927
ministro,72
profundamente,361
comovido,44
escolhas,165
maus,136
fizeram,920
cada,2529
hipnotizante,56
atenção,863
bastante,2305
concordar,105
comentários,866
questionam,12
jogando,321
desprezível,79
alerta,55
esperando,647
dylan,85
morto,576
william,530
chance,893
spoilerkeira,2
knightley,54
irradiou,2
inocência,165
tela,1701
sienna,21
miller,137
certeza,1157
produção,1302
indicada,45
prêmios,124
ótima,1131
rede,188
underground,36
assisti,1618
pensando,365
puro,282
continha,34
água,332
valeu,113
pena,2112
áspera,17
odeia,133
negar,62
ajuda,820
importa,715
simplesmente,1911
odiá,43
devoção,51
john,1675
lennon,32
metáfora,71
desamparo,16
sente,586
sentir,805
situações,439
querendo,187
saber,845
gostar,662
brecha,4
lacunas,34
opinião,823
estrangeiros,114
feitos,681
américa,419
gosto,1356
ambientes,50
sinto,545
levá,166
viagem,548
favor,617
assista,565
novo,2066
devo,508
vejo,435
fico,140
quatro,671
dolorosos,17
maneira,2486
vício,86
ficar,932
viciado,247
álcool,67
pornografia,69
ferir,20
prejudicar,27
importantes,259
prioridade,12
número,536
asiática,18
preciso,521
círculo,68
reunir,79
ama,458
chinês,117
diversão,537
elementos,596
rodeiam,9
vale,1500
representam,44
b,563
imitar,26
genuinidade,5
esposa,1637
terapeuta,18
saúde,129
mental,179
assistimos,107
homem,3604
típico,359
suporto,8
garotas,527
inacreditável,126
quiser,352
alguém,2102
passando,183
tipo,2399
assistia,123
spoiler,211
além,2528
disso,2779
indivíduos,112
incluindo,816
instituição,42
tornou,693
profissão,50
internacional,172
roterdã,3
2002,88
parecia,871
menos,3024
populares,136
viu,881
lidar,470
ambiente,310
retirar,14
fatos,170
vivem,222
desta,781
parcialmente,60
montado,51
acontecem,201
bons,1138
métodos,64
utilizados,18
destacar,51
relação,669
chineses,64
oitenta,74
noventa,28
tarde,1132
frozen,8
suzhou,1
river,35
dois,3693
caminhos,78
perde,240
vontade,280
agir,233
produtiva,2
fúteis,12
tornar,692
virtuoso,9
guitarra,46
escritor,549
escolhe,66
enfatizar,40
comportamento,286
após,1020
retirada,22
sentimos,68
dor,320
tempo,5453
odiamos,7
modo,506
trata,371
cercam,46
atrai,124
padrão,279
cansativo,26
parece,4010
estar,1580
envolvida,69
arrastando,17
irmã,584
tentam,326
cuidar,140
entrevistas,180
pessoais,159
conhecendo,34
através,1512
bejing,1
festejando,9
aliviam,2
tom,833
acontece,995
humor,1824
amargo,76
eventos,687
longo,1499
linda,571
ficou,450
comigo,230
agradar,115
facilmente,586
interessados,80
sério,720
moderno,266
forte,1005
recomendação,52
night,265
of,1464
hunted,3
estrelada,36
atriz,903
pornô,68
francesa,183
brigitte,29
lahaie,6
membros,426
elenco,2816
nesta,517
lenta,166
filmagens,272
frenéticas,9
vampiros,230
lésbicos,11
usuais,35
rollin,6
memorável,426
lips,8
blood,107
fascination,1
caroneiro,9
amnésico,8
lembrar,458
veio,341
apartamentos,59
segurado,1
grupo,903
médico,435
tratando,15
condição,118
semelhante,351
escapa,57
torre,41
escritórios,14
monolítica,1
afetadas,18
presas,59
rodovia,13
cidade,1606
conhece,550
pega,251
la,1242
oferece,608
muita,1007
nudez,306
infelizmente,825
ritmo,728
extremamente,830
lento,365
horrivelmente,45
triste,710
outro,3587
prisioneiro,84
asilo,38
dominique,2
journet,2
desenvolvida,33
hu,5
aborrecido,43
completamente,1340
dê,253
olhada,282
jean,396
rollins,9
7,819
10,3141
gentil,172
idiossincrático,6
pego,124
incursão,15
excepcional,204
território,101
ficção,653
científica,506
única,1412
vampira,27
vestido,161
diáfano,1
vista,683
fiel,298
tradição,151
orçamento,972
mostrou,320
apertado,82
realizar,133
inteiramente,163
diretores,582
amplamente,98
compensado,16
óbvio,284
dedicação,52
ofício,63
pura,277
ingenuidade,39
claude,104
coutys,1
atmosférica,37
aproveita,43
máximo,190
locais,387
pressentimento,12
philippe,21
bréjean,1
k,153
gary,252
sandeur,1
contribui,97
surpreendente,504
felizmente,337
assemelha,44
nenhuma,711
sentimentais,25
compôs,9
hardcore,69
quarteirão,7
paris,407
horário,47
fundado,1
pornôs,12
regulares,64
quais,616
familiarizado,120
esforços,209
juntar,110
dinheiro,1074
notavelmente,122
françois,34
liderança,144
exigente,61
brincando,111
elisabeth,23
acrescentar,92
pegou,144
vagando,28
robert,885
vincent,128
gardère,1
dirigindo,124
capaz,663
série,2853
levaram,101
perder,473
memórias,218
esquecendo,23
nome,895
roberts,156
papel,3001
salvador,25
heróico,50
voo,41
noturno,43
chegar,422
apartamento,283
legitimamente,12
descreve,119
virgem,75
credora,1
brigittes,2
linha,828
afinal,269
atrizes,293
adultas,27
ativas,5
único,1223
toque,385
causa,1187
nítido,47
contexto,174
relativamente,164
longa,574
sexo,898
evita,69
gratuidade,1
interlúdios,20
comerciais,103
incluir,60
trabalhos,267
garantir,117
fundos,68
sai,431
trabalhar,356
inevitavelmente,66
apagado,5
mente,1043
fraca,84
misterioso,186
comediante,160
doutor,98
bernard,87
papineau,1
lançou,73
assistente,120
ameaçadora,25
solange,1
atropelou,3
rachel,144
mhas,1
ausência,76
protetores,3
volta,1430
escapou,56
fortes,346
re,134
introduzida,15
colega,183
catherine,119
falecida,29
greiner,1
artista,289
cathy,33
stewart,275
virada,88
silenciosa,96
ambas,168
fornecendo,33
fictícias,9
compartilhadas,3
tentativa,365
superar,193
destino,333
inevitável,99
deterioração,8
limita,13
servidos,9
almoço,34
catherines,10
incapaz,126
controlar,67
movimentos,173
comer,113
colherada,4
sopa,45
cineastas,425
comprometam,1
exigências,17
comércio,38
pedir,144
fique,188
nua,95
segure,8
resta,38
faculdades,15
físicas,28
abandonaram,11
compõem,38
mid,7
section,1
aficionados,29
deveriam,357
reconhecer,102
gostos,105
alain,39
plumey,2
cyril,9
val,23
jacques,45
gateau,1
elodie,1
delage,1
junto,607
piscar,40
futura,43
princesa,126
marilyn,27
jess,45
cujo,327
estupro,144
mãos,445
boca,198
membro,230
presente,365
raramente,335
exibidos,59
xxx,13
filles,2
traquees,1
essencial,113
véronique,2
garota,1063
busca,459
fugir,166
lindamente,383
cuidada,3
requintada,37
inesquecível,133
continuaria,15
desempenhar,65
considerável,67
coadjuvante,127
zeffirellis,1
traviata,1
seis,264
pés,154
abaixo,169
revelam,45
deteriorante,1
resultado,475
derramamento,35
nuclear,92
pacientes,101
quarentena,4
deixando,308
concha,28
vazia,47
respira,17
descartada,13
cerimônia,24
fornalha,4
ardente,31
tiro,313
variação,35
particularmente,773
dolorosa,63
chaplins,53
modern,28
times,80
aproximava,5
colapso,96
total,411
ferido,105
tropeça,35
ponte,74
ferrovia,18
apertando,6
desajeitadamente,9
estendidas,4
surpreso,565
gostei,1824
movendo,123
esperaria,108
abundância,75
nada,2626
inclui,248
lindos,105
espetacularmente,15
erotizadas,1
mortas,70
esquivas,1
sci,120
fi,128
breve,449
explicação,145
incomodaria,6
exploração,198
memória,249
efeito,423
perda,243
viva,194
capa,134
dvd,2177
menciona,48
david,867
cronenberg,66
melhores,2861
similaridade,3
arquitetura,29
aparentemente,635
eficaz,356
assustador,735
espaço,351
interno,66
tentei,87
indicar,21
thriller,574
estrondoso,6
cativante,300
pesadelo,144
impressionante,675
ferroviário,14
entrei,67
impressionado,405
essencialmente,178
mistério,494
resgatada,12
cara,1514
acaso,166
tornam,386
amantes,299
rápidos,67
juntos,886
descobrir,731
acontecendo,553
flashbacks,184
vagos,9
sombrias,50
eventualmente,329
chegam,159
legal,801
desolada,10
pós,284
moderna,220
céus,30
cinzentos,13
prédios,31
altos,168
metropolitana,8
banda,298
groovy,11
1980,150
8,823
crianças,1662
parecem,926
vampiras,2
nuas,39
gosta,1163
ruim,1290
mudança,376
bio,15
mecânicas,6
francês,419
legendas,239
estrada,273
depara,77
mulher,1829
chinelos,6
roupão,6
banho,100
outra,1911
perdura,10
vestindo,42
dirigem,35
certo,1048
esquece,72
rapidamente,450
faça,420
estranhos,289
aparecem,174
levam,161
imenso,23
prédio,139
conhecido,555
negra,240
espécie,428
problemas,1069
mantidos,29
motivo,353
marcam,9
envolvem,95
tentar,561
ligar,48
vir,220
resgatar,48
vem,736
últimos,602
estranho,935
tocante,204
evitar,225
fórmula,145
típica,144
criou,218
nesse,743
perturbador,231
desenho,295
animado,327
antigamente,13
felix,149
fala,469
usando,421
bolhas,6
desenhos,285
estilo,1385
animação,644
grosseiro,71
comparado,174
dias,1036
hoje,1860
comparação,295
contemporâneos,88
criativo,130
engraçado,2201
calçados,4
dobrável,2
vender,130
nenhum,1382
calçado,5
precisa,1029
hollywood,1391
então,6083
diz,1349
loja,323
sapato,32
espalha,12
chicletes,1
logo,751
ficam,223
largam,1
sapatos,77
correndo,216
comprar,403
outras,1428
sapataria,2
gratidão,17
dá,1460
500,43
dono,174
quer,1834
pegar,505
descobre,507
esgueirar,6
invade,24
estúdio,303
incomoda,75
encontra,850
versões,169
quadrinhos,348
turpin,5
charlie,346
chaplin,222
descoberto,92
ofereceu,30
contrato,55
título,872
histórias,1171
guerra,2470
pegajoso,5
cor,268
rosa,82
espinhos,3
principais,984
definem,16
realista,657
senso,473
equilíbrio,130
trágico,187
letras,136
canções,153
cabaret,11
chanson,2
esquire,25
cantadas,21
keira,23
arrastam,17
brutal,221
pacífico,41
achá,15
excessivamente,181
biográfico,48
romântica,323
consequentemente,23
siga,27
thomas,295
triangular,8
impregnada,5
alegria,349
ciúme,28
visualizada,3
ângulo,101
boêmia,4
bombardeios,7
alemães,216
ambientada,45
flutuante,23
quartos,61
pubs,5
bares,20
independentes,88
soldado,280
poeta,52
carismático,64
constantemente,291
envolvidos,271
sentimentos,437
distorcido,71
solto,41
resto,888
restaurada,28
famosas,54
fazendo,1292
aparições,152
animadas,39
obrigação,75
entusiasta,20
jóia,309
descoberta,155
transmitida,39
provavelmente,2047
décadas,165
variadas,21
douglas,188
fairbanks,20
atacado,44
mosquitos,3
gigantes,68
will,127
hays,17
visita,141
chefe,466
static,2
studios,54
keaton,139
s,307
hart,63
imagem,764
goma,2
mascar,3
dizimando,1
população,83
idéia,649
felixs,4
descrito,86
cultural,82
curta,426
tempos,1396
prova,364
maioria,2217
trabalham,138
som,546
requisitos,13
qualidade,1016
usa,515
iniciado,13
piadas,734
dispositivos,41
tornaram,162
posteriores,135
caricaturas,24
celebridades,62
mencionado,148
anteriormente,164
silêncio,148
falam,174
balões,15
começou,430
jornais,39
natural,335
harmoniosos,1
desenhada,25
adicionam,45
dimensão,67
literal,41
figurativamente,8
curto,376
prazer,513
gastar,60
esforço,462
conseguir,431
assistindo,712
ensaiar,4
falas,80
presunto,21
reino,260
sanduíche,4
dramático,175
conta,755
sacrificar,19
olha,178
louco,392
encolhe,9
ombros,69
velho,917
adiante,54
financiar,17
espera,372
receba,27
questão,426
minutos,1289
cartum,20
vendedor,52
colocando,100
venda,71
falida,6
surge,91
plano,305
resgatá,19
promete,56
gato,225
us,242
funcionar,151
escandalosa,14
transforma,291
pasta,8
chega,538
transformando,71
testemunhamos,19
félix,8
entrar,477
business,26
audição,34
engraçadas,425
imitação,52
famosos,142
astros,20
executivos,39
mudo,157
material,550
9,678
5,780
2,1119
extras,189
supondo,19
curtas,202
metragens,72
sete,216
duração,214
risadas,339
malucas,23
podia,248
duelo,26
espada,69
doidas,1
possa,758
larry,160
hama,2
antigos,326
pensaria,72
escrever,330
dizia,46
cartões,46
arquivo,66
contariam,1
fãs,1169
basicamente,477
continuação,77
novos,355
comandante,87
cobra,56
insano,83
favoritos,780
pessoal,571
irritou,12
duque,48
comando,107
existem,486
vários,970
oficiais,89
sequências,344
batalha,435
semelhantes,172
séries,218
antigas,111
truque,107
cgi,131
over,114
top,257
errol,56
flynns,15
charme,287
malandro,6
brilha,187
divertido,2262
emocionante,541
historicamente,76
falido,16
biopic,6
famoso,365
diriam,15
infame,71
general,136
custer,106
west,162
point,64
civil,174
oeste,204
little,199
big,402
horn,23
batendo,104
rival,84
arthur,307
kennedy,129
namorando,32
bela,542
olivia,72
havilland,27
flynn,87
interpretar,312
deveria,1317
technicolor,76
dirigido,607
raoul,33
walsh,55
encenadas,28
verdadeiro,1119
deleite,128
anthony,186
quinn,107
crazy,81
horse,28
ano,1129
anterior,407
jeb,5
stuart,63
contracenando,12
ronald,59
reagans,6
george,631
santa,55
fe,7
trail,57
repleta,50
warner,170
brothers,117
projetada,25
falhar,30
mantiver,2
perspectiva,245
histórica,90
rígida,25
aventura,431
romance,1301
encontros,69
papéis,920
evidente,111
quadro,229
aprovada,7
puristas,26
buscam,28
cem,39
cento,19
precisão,141
basta,173
livro,1354
aproveitar,142
obra,928
sei,1186
difícil,1547
considera,94
custers,17
last,96
stand,96
proeminência,6
americana,446
dilema,54
resolvido,43
olhe,114
levar,515
fotos,402
duas,1955
horas,625
execução,221
chegada,92
arranhando,2
montando,18
pleno,22
traje,53
militar,154
piada,260
prática,70
sharp,22
quartel,13
majors,9
tê,156
encrencado,4
ironicamente,106
tocam,89
encontro,252
libby,26
bacon,60
subseqüentes,28
incluem,169
leitora,3
chá,77
callie,4
hattie,6
mcdaniel,8
notado,49
lembrou,171
monte,416
40,342
mantan,1
moreland,3
coruja,4
assovio,17
notar,136
retratou,68
j,189
contracena,1
representação,223
ambos,1099
disputando,5
reagan,39
atribuiu,7
arrogância,42
extravagância,20
relembra,9
passo,193
perto,851
richard,557
mulligans,2
assumir,155
vamos,422
exagerado,230
foto,397
tirou,90
perseverou,3
apostar,33
empreendimento,25
arriscado,25
lealdade,74
liderou,16
juntamente,205
disciplina,26
desenvolveu,59
pungente,90
confronto,124
arqui,12
declarou,16
glória,98
dependiam,2
observação,98
percepção,95
gloriará,1
mickael,1
curtiz,29
aventuras,190
robin,253
hood,98
cansou,11
ditatorial,2
decidiu,159
reunião,139
feliz,1047
diedo,1
botas,31
on,375
armstrong,50
estréias,5
demais,973
importante,881
sermos,25
transportados,11
paixão,344
carregadas,8
esquecer,279
california,8
joe,506
queens,55
own,12
buttler,2
canção,114
garryowen,3
comovente,517
sra,293
diabólico,24
golpe,118
permanece,243
épico,161
frescor,15
culpo,10
nascimento,94
nação,101
começar,511
travestis,8
haver,267
poucos,622
exemplos,120
nomes,277
7ª,13
cavalaria,33
sioux,10
presidente,209
grant,119
soletraram,2
corretamente,98
geografia,10
correta,53
exterminados,2
toma,173
hipérbole,6
invenção,43
limites,147
ridículos,37
jogue,60
francas,7
exposição,126
tente,208
esposas,57
aprendendo,60
falsa,92
corrida,272
ouro,325
desculpar,14
invasão,75
testemunho,61
congresso,25
defendendo,21
direitos,149
índios,120
invadindo,16
escritório,164
implorar,16
posto,82
honestamente,162
cômicas,54
corniness,1
arrojado,33
dehavilland,10
tendo,813
estupenda,7
representações,51
multidões,43
seqüências,230
tumultuadas,2
ford,300
ensinou,33
liberty,4
valance,3
lenda,191
hey,37
clássico,1206
maravilhosamente,455
morreram,69
bois,5
1941,39
contrastada,7
1940,159
estrelando,98
veículos,31
considerando,331
próprio,1099
holandês,19
retratando,118
cavalryman,1
extravagante,94
egocêntrico,27
sr,786
interpretando,232
virginian,4
confederado,13
assumiu,63
botais,1
once,27
propensão,19
usar,409
confiáveis,24
warners,18
repertory,1
company,37
empregada,74
dar,1406
autenticidade,55
diante,240
próprios,371
assumidos,2
conhecidos,182
elizabeth,167
mrs,30
co,320
estrela,810
ned,118
sharpe,18
samuel,101
gene,173
lockhart,6
cavalo,222
californy,1
grapwin,1
major,98
taipe,1
stanley,98
ridges,2
phillip,49
sheridan,25
litel,1
bacons,3
repleto,107
habilidosos,8
sawyer,15
eleanor,39
parker,185
watson,86
menor,296
tod,5
andrews,95
irving,15
roy,149
barcroft,1
lane,167
chandler,23
spencer,37
charters,4
frank,399
ferguson,16
forrest,38
eldridge,2
russell,188
hicks,20
hopper,50
hooper,22
hoppity,24
eddie,260
keane,3
fred,127
kelsey,20
sam,284
patrick,169
mcvey,1
orth,3
addison,4
richards,55
ray,336
teal,3
jim,329
thorpe,7
all,134
minerva,2
urecal,1
dick,185
wessel,2
gig,15
young,201
passos,86
seguida,497
retarda,5
necessidade,232
conforme,74
avança,93
designação,7
coronel,108
montana,68
orientação,59
griffith,49
veteran,3
atinge,158
gama,83
variada,13
sérias,52
emocionantes,141
históricas,50
convincentes,150
parecendo,109
matthew,105
brady,36
walshs,7
pontua,19
acelera,7
mar,248
portanto,369
arriscar,33
transformar,141
farsa,114
factual,21
antecessor,47
última,781
mencioná,8
schultz,24
scouts,1
honor,12
pedacinhos,9
licença,50
artística,101
literária,22
praticamente,404
impossível,267
incidentes,57
incluído,40
roteiro,1655
inclusão,33
errônea,5
invocação,1
negócios,238
terem,93
promovidos,1
acidentalmente,131
brigadeiro,4
aconteceu,627
dessa,534
mordaça,41
ajudou,179
seguir,445
ressaltava,1
luz,510
sentimento,397
despreocupado,43
permeava,1
inicial,262
colaboraram,7
caracterização,106
lendária,44
próximo,574
recriação,23
incidente,94
massacre,109
lakota,1
cheyenne,11
fukowi,1
chifre,16
ocorrência,21
25,140
junho,30
1876,3
choque,253
american,215
national,75
psyche,1
ataque,232
japonês,187
pearl,76
harbor,34
dezembro,42
atrocidades,23
perpetradas,1
fascistas,18
islâmicos,3
yorks,4
twin,21
trade,25
towers,9
sede,69
forças,174
armadas,34
estados,289
unidos,250
pentágono,9
arlington,13
virgínia,18
11,221
tantos,380
daquele,131
segunda,1086
imediatamente,441
intencionalmente,72
demonstrações,6
virtudes,30
necessárias,61
conflito,228
global,62
terminaram,27
original,1735
lançamento,522
teatral,176
schnitz,6
pára,67
parceria,42
frequente,36
provável,119
lembrado,125
saga,49
arrebatadora,29
entra,399
academia,132
apaixona,270
mandato,7
morte,1565
monta,23
louros,8
questionável,34
retratação,6
textos,11
históricos,79
reescrita,9
roteiristas,79
wally,20
kline,71
aeneas,1
mackenzie,7
distorcidas,17
desproporcionalmente,2
retratada,112
acordo,352
