word,negative_count
anos,5847
noventa,76
chegaram,55
plataformas,5
sociais,96
mudando,75
música,2040
cinema,2197
surgimento,8
estrela,829
rapper,31
pleno,19
andamento,40
ficou,536
segundo,946
plano,393
homem,2682
dominar,47
sotaque,461
regional,6
transparente,19
muitos,2500
criança,803
amei,157
assisti,1624
los,1175
encolher,59
bombeiros,51
vidas,335
básicas,43
inquilino,16
chamas,117
prestes,235
pegar,471
fogo,295
mapa,56
implicações,23
douradas,2
entrego,1
rapidamente,630
ordenadamente,2
configurar,15
principais,832
localização,93
culpo,62
envolvidos,304
produzir,200
performances,634
lame,48
devem,723
ficado,193
quentes,73
momento,1317
gostado,132
carreiras,79
opinião,646
ficaram,131
insatisfeitos,5
cerca,1170
cara,2912
ridiculamente,252
virando,17
costas,180
ponto,2065
encontra,542
bloqueado,6
múltiplos,19
estados,177
descrença,148
agora,3226
documentário,505
então,8214
vou,1448
perder,491
recontando,7
todas,2182
reviravoltas,242
estúpidas,268
levaram,99
lugar,2489
sensação,543
set,233
sordeto,2
confuso,519
apenas,10305
jogando,347
coisas,3338
punho,43
duas,2020
gosto,1449
envolve,275
cena,3985
agulha,18
enorme,451
pistola,39
45,150
sadlers,1
bottom,70
line,116
pizza,37
dominó,2
sim,1882
comeria,4
fome,76
vontade,238
cozinhar,30
ciente,80
3,1790
estrelas,981
meh,7
fotos,513
latão,4
palavra,666
apropriada,62
verdade,2987
tanto,1682
ousados,11
qualidades,180
visuais,222
atraentes,134
reminiscentes,7
comerciais,146
tv,2034
caros,30
alta,544
infelizmente,1769
imagens,620
brass,13
longas,156
metragens,31
pretexto,8
querer,543
entreter,82
telespectadores,111
durante,2047
!,17798
nisto,34
falham,45
miseravelmente,180
eróticas,15
inegáveis,5
bastante,2007
suaves,38
flácidas,5
vaporosas,1
resistentes,12
remake,426
luchino,8
visconti,13
título,1117
alida,1
valli,2
farley,4
granger,11
liderança,150
original,2389
história,7643
amor,1185
luxúria,21
veneza,22
arredores,23
guerras,39
italianas,11
independência,38
moveu,22
século,308
19,68
20,663
1945,14
exato,49
murais,2
mussolini,6
homens,1061
camisa,104
preta,73
uniformes,48
alemães,131
traje,98
esfarrapado,3
partidários,12
fachada,16
contexto,167
histórico,168
completamente,2047
insignificante,77
anna,96
galiena,1
atraente,397
mulher,1833
aristocrática,7
apaixona,177
amoral,18
ss,29
usa,482
batom,20
atriz,857
italiana,97
versátil,14
treinada,9
claramente,692
acima,768
material,707
ampla,45
gama,26
expressões,99
faciais,73
sinalizando,7
tédio,232
aversão,24
prazer,269
medo,558
ódio,118
êxtase,14
razão,1609
foto,424
vale,1198
suporta,14
basicamente,838
inútil,426
quantidade,345
impressionante,274
dignidade,54
desejo,262
algumas,4160
partes,874
boas,908
apareçam,8
merece,453
engraçada,461
aconteceu,838
comigo,255
enquanto,3560
assistia,139
mosquito,6
lado,1582
herói,760
surdo,28
mudo,130
diretor,3241
totalmente,1703
incapaz,135
entender,781
manequins,18
mutilantes,1
er,40
desculpe,397
cadáveres,85
através,1108
inglês,481
dublada,41
encontrei,398
desejando,56
estúpido,1137
acesso,61
cemitérios,12
necrotérios,1
cidade,1208
onde,3551
estaríamos,4
explorador,32
70,491
lésbica,91
gratuita,141
mencionar,473
aspecto,260
romântico,143
oh,950
doce,177
terror,2247
alemão,188
estranhos,276
conexão,173
abuso,132
infantil,331
vampirismo,7
supostamente,594
baseado,533
verdadeiro,668
resultado,598
espancamentos,8
repetidos,23
mãos,435
pai,1196
fetiche,35
bonecas,37
consigo,558
descobrir,692
veio,306
colegas,188
trabalho,2747
descobrem,104
provocam,16
terrivelmente,480
dia,1548
contador,32
maneira,2232
suave,115
noite,1360
invade,21
funerárias,3
bebe,47
sangue,1285
garotas,701
mortas,149
claro,2060
senão,70
importamos,48
fato,1990
geralmente,844
rasga,30
roupas,438
cintura,34
forma,2956
eventualmente,253
matar,893
pego,133
disse,997
estranho,869
sombrio,206
lento,558
werner,18
pochath,3
nunca,5006
fala,478
gasta,64
bebendo,53
sendo,2560
fã,1399
longa,507
data,154
japonês,128
esperava,622
posso,2833
incomodado,69
pobre,1103
pode,7939
fofa,101
romântica,159
tempos,911
poderia,5306
suportar,181
bagunça,669
chamavam,12
ritmo,633
japonesa,66
peculiar,88
notou,56
quantos,133
japoneses,139
usam,211
gráficos,120
parecem,1426
diferentes,577
forçosamente,3
evite,513
sério,1017
12,249
dito,625
iria,548
continuar,463
boa,3149
livro,1758
fãs,984
beat,13
takeshi,3
aparição,173
fanático,51
precisa,1045
sofrer,90
tokyo,3
eyes,37
menina,415
17,94
cai,382
caçado,10
irmão,549
velho,904
policial,679
manco,107
50,499
enchimento,39
conversas,129
verá,132
estelar,52
três,1568
conversam,26
ônibus,196
jogam,81
videogames,44
cortam,28
cabelo,355
andam,65
celular,74
passam,133
conversando,116
etc,982
lê,69
legendas,117
esperando,987
algo,3952
aconteça,96
fino,125
fio,95
suficiente,2295
sustentar,51
baixo,1708
valor,572
produção,1554
final,4961
escasso,20
romance,862
sexo,1303
nudez,572
drama,700
pesado,145
incessante,17
yadayadayadaing,1
c,336
fazendeiros,24
ricos,85
buenos,3
aires,3
política,281
comércio,30
crawford,60
manhattan,48
acontece,1198
filho,946
latino,40
bigode,38
certo,1105
olhos,938
brilhantes,179
cabelos,136
loiros,14
alguns,5427
movimentos,200
alegres,25
pista,180
dança,390
musical,324
20th,9
century,14
fox,124
verniz,7
brilhante,508
ultrapassado,14
bordas,18
frenética,22
ginástica,32
extremamente,903
fina,78
betty,52
grable,17
substituta,17
décima,16
primeira,1833
alice,119
faye,25
dá,957
impulso,53
apesar,1386
emparelhada,3
don,251
ameche,12
pele,183
castanha,8
magricela,6
bom,5929
charlotte,61
greenwood,10
bettys,2
tia,80
motorista,121
limusine,16
constantemente,290
adormece,13
carmen,49
miranda,44
interpretando,201
filmagens,294
ações,256
argentina,5
superam,18
filmada,143
backlot,6
apoio,348
corrida,248
cavalos,109
espectadores,452
cage,37
bêbado,206
elogiado,22
crítica,222
elizabeth,102
shue,16
desprezível,135
superestimada,31
estrume,26
hollywood,1248
literalmente,342
vomitei,11
gripe,21
significa,506
contribuído,11
vômito,48
kamode,1
nick,139
tocar,152
ator,1683
ruim,6811
papel,2095
mau,795
parreira,3
busca,302
começa,1475
nicks,9
contrato,61
lúcifer,12
lou,90
cipher,2
train,45
to,262
gostaria,827
dizer,5169
aparecem,229
época,746
aluguei,270
queria,959
gostar,699
acho,3934
principal,1797
desapontado,608
camarote,1
exterior,119
prometeu,22
thriller,464
suspense,801
britânicos,153
saído,134
ruth,43
rendell,1
muitas,2324
mudanças,135
obscuras,23
deixa,735
espectador,729
provavelmente,2305
cedo,240
começou,539
nota,472
promissora,80
tal,734
suspeita,83
envolvido,232
ataque,277
execução,332
matou,261
marido,596
servos,21
noções,11
provam,22
certas,143
ideia,927
esposa,1146
envolvida,93
ocorre,134
confesse,1
crime,384
elementos,448
lá,1977
sentia,73
tomou,55
direção,1582
diferente,813
espécie,421
novela,178
quer,1958
relacionamento,337
sido,4658
agradável,529
mim,2186
caixa,513
externa,15
falado,58
triângulo,60
amantes,146
retorcidos,5
rotulada,5
parecia,1832
cenário,676
inicial,181
leve,275
distração,48
conteúdo,253
senti,712
feito,3444
continuasse,9
levando,136
evento,202
concretizou,3
dar,1863
classificação,635
baixa,425
aquém,72
minhas,402
expectativas,292
diga,240
boozer,3
budweiser,3
bebedores,4
obcecados,10
suicidas,8
abrigam,3
bebidas,38
abastecida,1
tocada,72
quarto,378
motel,36
solitário,91
bar,260
bacharel,5
playboys,1
milionário,39
orgulho,89
ostentar,2
tipo,3255
alcoólatra,41
tende,43
beber,78
garrafa,75
centímetros,15
boca,358
faminta,11
modo,446
espalha,13
rosto,627
uísque,18
dousing,1
namoradas,49
mamas,21
público,1707
obter,463
olho,222
ativos,14
elisabeth,17
shues,2
retratando,60
look,37
at,95
atenção,622
seeking,1
agraciado,3
tela,1691
palhaçada,49
berkely,2
verão,192
experiente,75
street,131
walker,86
humilhada,8
subjugada,3
tantas,380
vezes,3295
possível,750
revoltante,34
lacerações,4
estupro,205
anal,26
verbal,17
gráfico,42
implausível,97
incluído,60
aparentemente,1132
transmitir,142
estado,346
degradado,5
oferecer,181
masculinos,83
surpreendentemente,274
fantasia,385
sexual,362
sentimental,73
tart,22
coração,481
lo,4685
fim,1360
altura,137
rir,965
voz,739
prostituta,162
rua,291
difícil,1509
picada,9
cenouras,6
cozinha,90
wanly,1
pateticamente,44
sorridente,22
estalando,2
tremendo,43
operando,14
perfuratriz,2
terremoto,28
careta,27
assaltou,2
meia,728
decepção,493
apresentado,183
incrível,554
incrivelmente,760
pretensioso,169
alguém,3532
criasse,4
importante,575
jovem,1279
aprendemos,99
esperança,373
sabemos,310
porque,6910
nicholas,42
excelente,586
desempenho,936
sinto,747
decepcionaram,7
poder,551
apresentar,162
ereção,13
leito,21
morte,1229
terrível,2326
precisava,290
banho,147
absolutamente,1288
orçamento,1812
ed,389
woods,107
pareçam,79
arte,697
péssima,109
sets,96
adereços,63
piores,1234
trem,329
metrô,39
comum,472
usado,433
transportar,17
zona,47
mutantes,47
assassinos,257
woddy,1
strode,10
bala,71
cenas,4208
luta,849
disparadas,8
poço,78
cascalho,9
desuso,3
sadismo,22
esperaria,127
vídeo,1054
italiano,178
80,749
desagradável,491
talento,868
interesse,739
amoroso,179
feminino,173
sabor,73
bunda,162
talvez,3244
padrões,255
italianos,103
lançado,478
tantos,446
disponíveis,60
perspicazes,8
pedaço,685
entretenimento,529
sequer,478
engraçado,2353
barato,577
insultar,42
pergunto,272
terra,709
woody,106
acabou,727
peru,225
heres,86
decididamente,36
médio,457
post,69
apocalíptico,35
assumir,145
caça,93
seres,113
humanos,371
tema,460
esporte,48
ala,35
the,4493
most,10
dangerous,11
game,61
turkey,5
shoot,23
gymkata,4
running,17
man,363
certainly,1
revisto,5
divertido,1503
outras,1250
entradas,29
listadas,9
arrastado,52
branda,43
número,536
seqüência,188
prolongada,34
pontos,708
verdadeiramente,416
estúpidos,355
ilógicos,15
tome,106
consegue,1141
infiltrar,11
composto,53
vilões,218
inicialmente,81
mata,494
sentinela,5
jipe,20
após,908
descoberta,68
cadáver,122
resposta,275
tendo,675
chegou,290
assassinar,47
brutalmente,61
resolvem,8
esperar,644
manhã,213
seguinte,229
procurar,183
culpado,147
entanto,2870
suponho,334
justo,238
permanece,129
assistível,236
suspender,60
tais,194
beneficiar,8
imensamente,40
presença,269
limitado,103
clássico,623
extensão,66
imaginação,291
merecedor,22
relógio,153
entusiastas,32
b,1015
movie,242
inferior,180
escala,161
apocalipse,40
pish,1
chamado,1083
executioner,3
venho,17
treinado,27
ex,562
vingar,113
daqueles,461
mataram,66
amigos,1309
frio,168
explosões,134
falsas,124
tiroteios,65
repetitivos,20
acontecem,210
trajes,187
fortaleza,12
dirigida,79
7,330
ótimo,997
dublagem,103
galera,6
perde,294
espadas,78
espetado,5
pescoço,109
pega,272
bang,25
mistério,384
sentar,429
intrigado,58
destruída,41
holocausto,48
nuclear,99
algum,3318
itália,78
bando,348
sobreviventes,77
raça,108
pura,246
contaminação,2
radioativa,5
escondidos,31
mansão,92
cercada,23
jardins,7
exuberantes,12
próxima,445
oportunidade,235
caçar,39
poluído,3
vítima,295
alan,148
mang,1
parecido,412
kurt,32
russell,99
esforços,222
derrubar,68
caçadores,95
legalmente,16
sancionados,1
liderados,37
edra,1
marina,11
costa,75
erasmus,2
harrison,50
muller,11
jr,182
nypd,8
sam,307
fica,1176
dando,422
moral,212
pupilos,1
carne,276
enlatada,13
pareça,293
apareça,30
terço,56
mistura,285
histórias,797
incluindo,579
dez,648
pequenos,257
índios,60
escape,39
from,159
executor,6
movimenta,4
razoável,108
oferece,314
discriminadores,1
pé,264
frente,837
casa,2031
n,109
mulheres,1416
chorando,80
grupos,68
próximos,116
falando,662
tom,698
abafado,19
casal,465
caras,803
entrar,517
discutindo,55
quão,1089
sexy,302
filha,761
parecer,826
hoje,797
breve,351
vai,3225
saber,873
morta,272
preocupada,25
preparar,42
comida,163
amiga,173
sentada,47
idéia,1081
facilitar,5
preparando,48
simples,674
roti,1
sabji,1
ocupada,29
maquiagem,379
mãe,1089
sugere,113
use,79
kameej,1
interessada,45
estarão,38
visitando,20
prefere,43
jeans,20
camiseta,23
salwar,1
kameez,1
pede,121
termine,40
kriyas,1
indica,42
deve,2779
vir,190
escritório,149
foca,7
lentamente,183
mortos,497
pano,82
branco,549
cobrindo,24
d,401
ligeiramente,105
deslocado,10
devido,565
vento,98
revelando,30
anupam,7
kher,5
repente,403
alarme,20
toca,160
levanta,85
cama,310
sonho,182
flashback,134
u,39
comédia,2175
wat,2
dibakar,1
banerjee,1
descobre,311
portanto,388
tornar,612
óbvio,568
descrito,103
anteriormente,130
suposto,277
pertence,125
categoria,251
possa,787
remotamente,209
associado,58
mensagem,473
conseguir,410
justiça,222
polícia,561
enganar,172
fraudes,11
esquecer,192
bapi,1
tutul,1
dhruv,1
dhalla,1
ok,1094
outros,3458
setores,1
destrói,84
khers,1
vasool,1
paisa,1
família,1259
nova,1006
última,655
bairro,60
aparelho,32
televisão,537
arruína,9
casamento,266
david,507
nivens,3
mitzi,3
gaynor,4
raramente,255
arrisca,13
bedroomand,1
alcance,81
forno,18
liga,110
desliga,10
compensação,16
performance,449
empolgada,3
patty,41
duke,56
pré,268
miracle,10
worker,2
deliciosa,25
;,4217
feliz,620
aniversário,70
partir,578
prey,21
slogan,65
humano,375
machado,57
stinkaroo,1
acolchoado,10
intermináveis,82
insetos,49
vida,3719
selvagem,144
morrer,322
slasher,196
desse,1466
13th,25
novamente,1330
grave,102
deste,2478
encontrar,1232
considerado,245
25,155
feitos,652
exagerar,33
sei,1783
saiu,382
seguindo,113
tendência,102
iniciada,9
copia,12
mencionado,187
vários,813
aspectos,376
florestas,20
assassino,955
adolescentes,513
burros,58
presa,94
lembro,596
coincidência,53
espere,392
sobrenatural,101
gostos,88
jason,212
situações,314
chatas,160
falta,1279
tensão,342
funciona,548
pontuação,287
combinação,154
instrumentos,19
chatos,156
melodias,18
80s,22
queijo,246
técnicos,75
acredite,262
custou,44
dólares,391
favor,1193
peste,68
graças,300
deus,1123
desaparecido,48
emily,81
watson,32
breaking,8
waves,4
wilkinson,11
normal,290
diverti,35
vê,1468
ofuscados,7
rupert,11
everett,20
dellamorte,4
dellamore,4
chocantemente,32
pequeno,682
ingredientes,64
breves,64
retrata,137
lânguido,5
infinitamente,53
direito,211
lorde,25
rico,235
autênticas,8
divertidas,129
notavelmente,97
pouca,384
química,281
falar,870
irritantemente,40
qualidade,1248
semana,430
narração,182
estridente,66
desnecessária,90
viagem,350
prestava,4
bons,1405
conselhos,65
apreciar,216
odeia,122
vice,96
versa,39
existe,420
termos,282
percepção,31
refrescantemente,6
honesta,54
sentimentos,181
irritar,41
particularmente,630
anunciou,10
controle,321
declarou,19
voltaria,17
apartamento,164
civil,70
pedir,144
permissão,63
desculpas,133
passei,179
wilkinsons,1
control,5
freak,31
relativist,1
character,6
mudasse,7
contrário,721
desajeitadamente,45
transformou,141
whodunit,11
doença,136
love,155
story,95
steel,12
magnolias,3
suficientemente,50
informando,8
fiquei,1308
distraidamente,7
adivinhando,24
reviravolta,283
trama,1020
terem,123
revelados,19
senhor,168
dirigindo,186
carro,842
cão,198
lordes,5
visita,89
bravo,68
enfermeira,119
namorado,312
florence,7
nightingale,5
encarnada,2
começar,991
soluçar,3
bebê,292
perguntar,395
rica,118
enlouquecida,19
dirige,167
árduo,6
proporcionando,16
cônjuge,8
loucura,149
transando,16
ocupar,21
vazia,94
moribunda,9
bônus,44
adicional,37
pois,544
alguma,2640
tornava,28
reprovação,1
olha,190
acabado,218
deixá,131
la,1205
secretária,48
apreciá,35
agiu,61
abusado,20
abrir,104
afeto,17
aumentando,27
pontapé,10
anti,322
pc,66
soou,52
levar,520
duras,28
realidades,19
idade,718
tendemos,1
enfrentar,94
intenção,206
diretores,633
deprimente,139
passou,263
últimos,577
convencendo,8
pertencem,34
alegria,154
promessa,125
emoções,230
manipuladas,7
plausível,78
banal,206
demais,1077
década,433
1980,135
valeu,121
filmados,77
pesadelo,120
tedioso,186
produzido,202
seis,245
garotos,296
fumam,10
maconha,68
decidem,138
ir,1047
acampar,25
sabe,1461
começam,318
clímax,285
guarda,225
florestal,19
bonitão,17
tentando,1769
acompanhar,95
garota,1330
torne,58
buzzardbait,1
john,1156
carl,61
buechler,8
favorito,187
péssimos,42
efeitos,2171
carel,4
struycken,4
witches,3
of,1314
eastwick,2
addams,8
aparece,611
coberto,46
queimada,16
tornando,228
irreconhecível,24
steve,319
bond,102
lembra,269
adiantado,1
cowrote,1
cheiram,14
ursos,27
marrons,8
atuais,70
saem,183
floresta,319
acompanha,51
animais,354
selvagens,65
pensei,1186
acidentalmente,144
episódio,860
especial,537
mutual,3
omahas,1
wild,86
kingdom,8
thecast,1
senta,62
fogueira,36
come,94
anda,104
estranha,426
piada,681
sapo,31
larga,14
cervo,27
abadre,1
jackie,126
coogan,7
trabalhou,73
lendas,30
feita,516
sanduíches,12
pepino,9
pão,31
aveia,11
minuto,309
sobrevivente,56
incêndio,80
procura,160
companheiro,99
observa,46
alunos,134
trás,823
árvores,75
cineastas,734
efeito,460
batimento,2
cardíaco,36
serve,161
despertar,38
poucos,544
pule,160
pilha,230
seiva,9
pinho,3
alugue,231
halloween,186
classificado,126
r,253
física,123
moderada,17
palavrões,104
moderado,18
referências,199
sexuais,259
drogas,502
apropriado,113
repleto,92
recentemente,271
vhs,125
animado,362
adoro,100
capa,460
fantástica,48
normalmente,410
fantástico,157
desses,655
perseguindo,99
sons,109
batimentos,3
cardíacos,7
usados,156
tenso,58
assiste,229
gordo,163
seção,113
entra,384
toma,124
fundo,654
termina,322
abruptamente,49
estoque,81
mostrar,801
devolvidos,5
apanhados,11
mostrado,295
eficaz,152
cropsy,1
burning,17
esmagamento,6
face,91
recomendaria,280
especialistas,61
certamente,1227
ano,706
maus,245
atrás,790
dont,32
go,75
into,12
alone,40
bosque,14
agindo,379
dgitw,1
olhar,722
clientes,67
impressionantes,137
insensata,9
usava,56
usar,604
preencher,170
espaço,497
gargalhadas,56
momentos,1083
pude,247
conter,80
risos,170
bizarro,184
caminhar,13
lua,179
afastar,76
kille,1
matança,69
favoritas,39
sufocou,4
saco,97
dormir,245
falso,380
burro,164
achei,933
assustador,816
natureza,307
casos,142
cult,87
jackson,171
bostwick,7
solo,88
banjo,13
habilidade,206
bostwicks,1
instrumento,16
disser,25
graça,919
salvadora,98
persegue,81
durar,77
primeiros,920
bucheler,1
especiais,1236
conhecê,28
troll,36
sexta,143
feira,180
13,279
dirigiu,177
redentora,127
dentro,760
nível,707
classificar,32
cima,407
empresas,65
amadores,138
punhado,124
leal,14
má,903
atroz,184
perdoados,13
uhhh,4
escritores,500
exigente,56
diz,1374
respeito,448
desenvolvimento,509
acha,617
hiperbólico,3
pegamos,24
parados,11
parecendo,192
desamparados,4
desajeitados,65
abandonados,19
chamar,305
nomes,417
uns,211
separam,8
dizem,366
substantivo,5
explica,157
constelação,6
orion,2
plagiada,4
funk,9
wagnalls,1
tarifa,41
cintilante,8
relembra,6
antigo,342
conto,314
ocasiões,66
ousadia,20
filmar,301
microfone,41
boom,60
possamos,43
ouvir,496
dizendo,819
inteiras,45
murmurando,11
deliberadamente,64
sentassem,1
rancho,40
cucamonga,1
auge,69
olhasse,8
dissesse,58
ei,273
ótima,383
mordaça,35
sangrenta,103
decapitação,31
vamos,964
recurso,188
torno,605
escritor,684
bordo,134
quero,1477
anotar,4
sequência,593
rotular,11
diários,24
convencido,87
editor,106
pausas,31
gritantes,17
tableaux,4
zero,309
preenchem,8
taxonomias,1
exaustivas,1
flora,10
fauna,3
habitam,18
loucos,90
fatiados,5
picados,10
criaturas,238
filmadas,125
luz,429
reservada,9
tentativa,950
fotografar,24
atmosfera,329
ciência,121
certeza,1391
show,2419
metragem,164
faltando,197
abafada,6
vereador,4
national,71
geographic,15
more,12
emocionante,226
graciosamente,10
poupado,18
chão,367
sala,423
corte,295
discutem,30
cream,9
cheese,5
afasta,66
inteiro,459
comprometer,25
celulóide,121
inserir,31
pessoal,453
brevidade,7
concisão,2
verdadeiras,58
vítimas,360
massacre,172
admitidamente,5
vapor,35
comparativamente,20
carnificina,34
condensada,6
roubo,171
béla,1
bartóks,1
strings,1
percussion,1
celesta,1
corta,165
vaudeville,17
aparência,561
divertida,333
ranger,81
parque,106
tubby,3
bumbly,1
último,712
acreditar,1122
sangrentos,96
rasgão,2
mencionada,41
usada,200
conhecido,364
lurch,3
híbrido,34
voorhees,11
freddy,163
krueger,34
finais,289
malucos,64
retos,7
verificar,117
envolvem,78
filhote,42
cuspe,7
prometo,26
amo,561
inépcia,39
quartos,63
interminavelmente,11
estragam,32
resto,1390
assunto,525
amplamente,53
pálido,24
visto,1319
debilitados,1
fazemos,34
afinal,265
ah,566
definitivamente,780
forte,442
candidato,39
ganhar,340
prêmio,189
questionável,46
pior,3879
evitar,407
rotina,116
derivada,19
viu,798
milhares,161
insuportáveis,29
completa,490
fotografia,289
difusa,6
localizações,4
maior,1821
preenchimento,54
encontrou,140
exagero,73
garantia,19
infinita,20
expandir,20
desavergonhado,15
incluir,92
interlúdio,11
contam,27
piadas,1072
engraçadas,484
configuração,105
rudimentar,20
introdução,152
mostrando,287
devastador,13
gritos,86
ott,18
avançando,24
quarenta,88
idoso,39
acampando,7
naquela,218
mesma,1118
área,223
atingido,92
respira,9
pesadamente,32
informação,107
deduzir,4
sobreviveu,39
permaneceu,37
rondando,4
intoleráveis,6
casais,89
vinte,238
dirigem,64
perigo,199
exclusivamente,48
mentes,89
inconsciente,49
patos,22
sentados,72
espreita,34
ofega,1
irremediável,4
filmado,698
1978,56
quis,90
distribuí,3
1984,48
quê,335
caso,1664
filtrar,5
relevante,40
curto,351
30,598
possivelmente,334
inimaginável,15
vivem,141
típica,135
fornece,125
informações,146
educacionais,5
hábitos,33
próprio,867
biótopo,1
natural,171
inegavelmente,36
legais,280
vil,54
brega,389
chorar,164
quinze,110
valiosos,6
sequências,378
potentes,2
monstro,666
acaba,661
family,80
tolice,77
overrules,1
abutres,4
estúpida,392
tiro,429
retardado,136
facilmente,480
própria,680
lista,481
slashers,40
appointment,1
with,104
fear,49
berserker,5
jogos,206
mortais,43
bosques,24
hollow,45
gate,32
acordado,87
toque,192
recolher,8
receita,44
slash,14
supercraptástico,1
excessivamente,240
ciganos,19
viviam,25
cavernas,71
montanha,124
queimados,10
campistas,21
desaparecem,46
crianças,1752
tesão,47
naturalmente,228
desta,652
acampamento,219
debochado,2
saudação,8
sinistra,30
chegam,156
jeito,378
pegas,1
invisível,110
embaraçosamente,53
surpresas,75
ordem,177
exata,32
fórmula,168
dita,55
deixando,277
defender,68
sozinha,92
desenlace,11
pessimista,20
acabe,40
aprisionada,3
impregnada,4
peso,148
comprimento,52
preenchida,15
obviamente,1072
inseridas,10
longo,1237
lançamento,312
positivo,236
filmagem,341
destaques,66
escalando,6
gore,274
xerife,192
local,820
desastrado,3
charlie,218
chaplin,86
legal,830
completistas,3
baixos,127
cheira,94
habitual,167
supersexuais,1
proibida,10
queimou,14
1940,82
deixou,508
raivoso,16
avanço,105
rápido,550
avançar,114
dias,761
massacrados,12
seguem,73
rastro,17
semi,172
preocupado,105
sonâmbulo,6
coorte,6
saudável,65
giram,19
ajustando,8
conseguem,283
parcialmente,69
desviar,61
metros,102
medíocre,331
assassinatos,314
zilhão,6
esquartejadas,1
opte,7
sleepaway,18
camp,90
caminhantes,2
tolos,74
vão,806
montanhas,64
utah,15
depararem,1
cigano,20
desfigurado,13
bonita,334
moinho,17
sofre,207
principalmente,701
idiotas,598
familiares,148
importa,817
perguntamos,15
extravagantes,115
preenchido,65
infinitas,15
desnecessárias,64
ocasional,63
assustadora,231
trilha,609
sonora,572
peake,3
costume,147
trailers,90
obstinados,21
recompensado,15
just,34
before,11
dawn,58
1981,48
wrong,18
turn,24
2003,77
1983,40
alugou,26
ruins,1814
dormitório,23
leprechaun,14
frost,85
peguei,171
lep,2
conhecidos,141
escolhi,53
combinava,17
guia,89
badmovies,1
org,8
descrição,148
verso,25
ouvido,205
vencedor,103
spoilers,369
ptis,1
propósito,522
equipe,719
evil,152
dead,302
